iter	RMSE
0	16.53577411
1	16.39896494
2	16.25366195
3	16.12742325
4	15.9717802
5	15.81165471
6	15.67137868
7	15.51568024
8	15.38347964
9	15.23936401
10	15.1263134
11	14.97761731
12	14.82842758
13	14.67789138
14	14.53087708
15	14.3973077
16	14.27111603
17	14.13616185
18	14.02458341
19	13.90602088
20	13.76768178
21	13.64243567
22	13.52903037
23	13.42061594
24	13.29728912
25	13.17107679
26	13.07022555
27	12.9678449
28	12.88133492
29	12.76488901
30	12.6370407
31	12.52348335
32	12.40751988
33	12.3107225
34	12.23266552
35	12.12502263
36	12.01540905
37	11.93856673
38	11.82821358
39	11.73313006
40	11.64299849
41	11.53183892
42	11.42678927
43	11.34047755
44	11.25003835
45	11.15067548
46	11.05896627
47	10.97140799
48	10.87803382
49	10.78025135
50	10.70844886
51	10.62343316
52	10.52812434
53	10.44181453
54	10.36820478
55	10.27281816
56	10.19432459
57	10.10708555
58	10.02328515
59	9.933536054
60	9.86430724
61	9.78577105
62	9.714518945
63	9.634906979
64	9.5567327
65	9.477661662
66	9.404195089
67	9.334325321
68	9.269421214
69	9.198879474
70	9.127178878
71	9.049606329
72	8.978209142
73	8.911339239
74	8.84991907
75	8.785782476
76	8.721386034
77	8.64817222
78	8.579834263
79	8.522484111
80	8.475241735
81	8.411771416
82	8.356351143
83	8.286218905
84	8.214446436
85	8.153926431
86	8.092515535
87	8.031034766
88	7.961257981
89	7.903289697
90	7.845133488
91	7.78746072
92	7.738197705
93	7.683489898
94	7.629527467
95	7.568470888
96	7.513026961
97	7.46739891
98	7.424023621
99	7.379086308
100	7.325382708
101	7.275393388
102	7.22522145
103	7.182672874
104	7.123449889
105	7.073670327
106	7.018117274
107	6.972149882
108	6.921974315
109	6.877609955
110	6.835852555
111	6.796379135
112	6.751974755
113	6.702083023
114	6.655240042
115	6.609543623
116	6.568151985
117	6.535923729
118	6.500369325
119	6.45375945
120	6.410700952
121	6.380617533
122	6.341042222
123	6.304179751
124	6.266141673
125	6.238641838
126	6.195579636
127	6.176955716
128	6.137188882
129	6.092897691
130	6.057559802
131	6.018452119
132	5.978587544
133	5.941929549
134	5.898703119
135	5.862799341
136	5.827332893
137	5.792871212
138	5.759181366
139	5.728844238
140	5.684834887
141	5.649383285
142	5.625156086
143	5.590949375
144	5.561645333
145	5.524126114
146	5.486327093
147	5.45313329
148	5.42764972
149	5.396375164
150	5.371412974
151	5.33814494
152	5.316628635
153	5.285018019
154	5.251559038
155	5.216362435
156	5.18785941
157	5.16311424
158	5.136232492
159	5.108629695
160	5.085104863
161	5.059806181
162	5.026878336
163	5.001628522
164	4.978711059
165	4.957102376
166	4.939433579
167	4.91351453
168	4.885895905
169	4.859226022
170	4.837832926
171	4.813288046
172	4.783997657
173	4.771520026
174	4.748587402
175	4.72430178
176	4.70136594
177	4.678843481
178	4.651776478
179	4.633211914
180	4.611622255
181	4.591895861
182	4.575736151
183	4.554517139
184	4.544863254
185	4.524205735
186	4.506136448
187	4.48479437
188	4.459151284
189	4.43499085
190	4.413792356
191	4.392701247
192	4.365969984
193	4.339236274
194	4.323746397
195	4.301737793
196	4.279796454
197	4.262053919
198	4.244484905
199	4.227533112
200	4.204519308
201	4.188245881
202	4.173919886
203	4.151962915
204	4.134004444
205	4.11427703
206	4.097051546
207	4.079433212
208	4.063983619
209	4.049645939
210	4.033166838
211	4.016679701
212	4.002034672
213	3.987984686
