iter	Passed	Remaining
0	0	433
1	0	375
2	1	357
3	1	336
4	1	348
5	2	343
6	2	340
7	2	341
8	3	337
9	3	335
10	3	334
11	4	341
12	4	347
13	4	347
14	5	389
15	6	382
16	6	379
17	6	374
18	7	369
19	7	370
20	7	372
21	8	372
22	8	368
23	8	365
24	9	361
25	9	358
26	9	356
27	10	354
28	10	352
29	10	350
30	11	349
31	11	348
32	11	348
33	12	347
34	12	345
35	12	344
36	13	342
37	13	341
38	13	342
39	14	341
40	14	340
41	14	339
42	15	338
43	15	337
44	15	336
45	16	335
46	16	333
47	16	332
48	17	332
49	17	331
50	17	329
51	18	328
52	18	327
53	18	326
54	18	325
55	19	325
56	19	325
57	19	324
58	20	323
59	20	322
60	20	322
61	21	321
62	22	330
63	22	329
64	22	328
65	23	327
66	23	327
67	23	326
68	24	325
69	24	324
70	24	323
71	25	322
72	25	322
73	25	321
74	26	320
75	26	320
76	26	319
77	26	319
78	27	318
79	27	317
80	27	317
81	28	316
82	28	315
83	28	315
84	29	314
85	29	313
86	29	313
87	30	312
88	30	312
89	30	311
90	31	310
91	31	309
92	31	309
93	32	309
94	32	308
95	32	308
96	33	307
97	33	307
98	33	306
99	34	306
100	34	305
101	34	305
102	34	304
103	35	304
104	35	303
105	35	303
106	36	302
107	36	302
108	36	302
109	37	301
110	37	301
111	37	300
112	38	300
113	38	299
114	38	299
115	39	298
116	39	298
117	39	298
118	40	302
119	41	302
120	41	301
121	41	301
122	42	300
123	42	299
124	42	299
125	43	298
126	43	298
127	43	297
128	44	297
129	44	297
130	44	296
131	45	296
132	45	296
133	45	295
134	46	294
135	46	294
136	46	293
137	47	293
138	47	293
139	47	292
140	48	293
141	48	292
142	48	292
143	49	291
144	49	290
145	49	290
146	49	289
147	50	289
148	50	289
149	51	289
150	51	288
151	51	288
152	51	287
153	52	287
154	52	287
155	53	286
156	53	286
157	53	286
158	54	285
159	54	285
160	54	285
161	55	285
162	55	285
163	55	284
164	56	284
165	56	283
166	56	283
167	57	283
168	57	283
169	58	283
170	58	282
171	58	282
172	59	284
173	59	284
174	60	283
175	60	283
176	60	283
177	61	282
178	61	282
179	61	281
180	62	281
181	62	280
182	62	280
183	63	280
184	63	279
185	63	278
186	64	280
187	64	280
188	65	280
189	65	279
190	65	279
191	66	278
192	66	278
193	67	278
194	67	278
195	67	278
196	68	278
197	68	277
198	68	277
199	69	276
200	69	276
201	69	275
202	70	275
203	70	275
204	70	275
205	71	274
206	71	273
207	71	273
208	72	273
209	72	273
210	72	272
211	73	272
212	73	272
213	73	271
214	74	271
215	74	270
216	74	270
217	75	269
218	75	269
219	75	268
220	76	269
221	76	268
222	77	268
223	77	268
224	77	267
225	78	267
226	78	267
227	78	266
228	79	266
229	79	265
230	79	265
231	80	265
232	80	264
233	80	264
234	81	264
235	81	263
236	81	263
237	82	262
238	82	262
239	82	261
240	83	261
241	83	261
242	83	260
243	84	260
244	84	259
245	84	259
246	85	259
247	85	258
248	85	258
249	86	258
250	86	257
251	86	257
252	87	257
253	87	256
254	87	256
255	88	256
256	88	256
257	89	256
258	89	256
259	89	255
260	90	255
261	90	254
262	90	254
263	91	253
264	91	253
265	91	253
266	92	253
267	92	252
268	93	252
269	93	252
270	93	251
271	93	251
272	94	251
273	94	250
274	95	250
275	95	250
276	95	249
277	96	249
278	96	249
279	96	248
280	97	248
281	97	248
282	97	247
283	98	247
284	98	247
285	99	247
286	99	246
287	99	246
288	99	245
289	100	245
290	100	245
291	100	244
292	101	244
293	101	244
294	101	243
295	102	243
296	102	242
297	102	242
298	103	242
299	103	241
300	104	241
301	104	241
302	104	241
303	105	240
304	105	240
305	105	240
306	106	239
307	106	239
308	106	239
309	107	238
310	107	238
311	107	237
312	108	237
313	108	236
314	108	236
315	108	235
316	109	235
317	109	235
318	109	234
319	110	234
320	110	233
321	110	233
322	111	233
323	111	232
324	111	232
325	112	231
326	112	231
327	112	231
328	113	230
329	113	230
330	113	230
331	114	229
332	114	229
333	114	228
334	114	228
335	115	227
336	115	227
337	115	227
338	116	226
339	116	226
340	117	226
341	117	225
342	118	226
343	118	226
344	119	226
345	119	225
346	119	225
347	120	224
348	120	224
349	120	224
350	120	223
351	121	223
352	121	223
353	122	222
354	122	222
355	122	221
356	123	221
357	123	221
358	123	221
359	124	220
360	124	220
361	124	219
362	125	219
363	125	218
364	125	218
365	125	218
366	126	217
367	126	217
368	126	217
369	127	216
370	127	216
371	127	215
372	128	215
373	128	215
374	129	215
375	129	214
376	129	214
377	130	214
378	130	213
379	130	213
380	131	213
381	131	212
382	131	212
383	132	212
384	132	211
385	132	211
386	133	210
387	133	210
388	133	210
389	134	209
390	134	209
391	134	209
392	135	208
393	135	208
394	135	208
395	136	207
396	136	207
397	136	207
398	137	206
399	137	206
400	138	206
401	138	205
402	138	205
403	139	205
404	139	204
405	139	204
406	140	204
407	140	203
408	140	203
409	141	203
410	141	202
411	141	202
412	142	201
413	142	201
414	142	201
415	143	200
416	143	200
417	143	200
418	144	199
419	144	199
420	144	199
421	145	198
422	145	198
423	146	198
424	146	198
425	146	197
426	147	197
427	147	196
428	147	196
429	147	196
430	148	195
431	148	195
432	149	195
433	149	194
434	150	195
435	150	194
436	151	194
437	151	194
438	151	193
439	151	193
440	152	193
441	152	192
442	153	192
443	153	192
444	153	191
445	154	191
446	154	191
447	154	190
448	155	190
449	155	190
450	155	189
451	156	189
452	156	189
453	156	188
454	157	188
455	157	188
456	157	187
457	158	187
458	158	187
459	159	186
460	159	186
461	159	186
462	160	185
463	160	185
464	160	184
465	160	184
466	161	184
467	161	183
468	162	183
469	162	183
470	162	182
471	163	182
472	163	182
473	163	181
474	164	181
475	164	181
476	164	180
477	165	180
478	165	180
479	165	179
480	166	179
481	166	178
482	166	178
483	167	178
484	167	177
485	167	177
486	167	176
487	168	176
488	168	176
489	168	175
490	169	175
491	169	175
492	169	174
493	170	174
494	170	174
495	170	173
496	171	173
497	171	173
498	172	172
499	172	172
500	172	172
501	172	171
502	173	171
503	173	170
504	173	170
505	174	170
506	174	169
507	175	169
508	175	169
509	175	168
510	176	168
511	176	168
512	176	167
513	177	167
514	177	167
515	177	166
516	178	166
517	178	166
518	178	165
519	179	165
520	179	165
521	179	164
522	180	164
523	180	164
524	180	163
525	181	163
526	181	162
527	181	162
528	182	162
529	182	161
530	182	161
531	183	161
532	183	160
533	183	160
534	184	160
535	184	159
536	184	159
537	185	158
538	185	158
539	185	158
540	186	157
541	186	157
542	186	157
543	186	156
544	187	156
545	187	156
546	187	155
547	188	155
548	188	154
549	188	154
550	189	154
551	189	153
552	189	153
553	190	153
554	190	152
555	190	152
556	191	152
557	191	151
558	191	151
559	192	150
560	193	151
561	193	150
562	193	150
563	194	150
564	194	149
565	194	149
566	195	149
567	195	148
568	195	148
569	196	148
570	196	147
571	196	147
572	197	146
573	197	146
574	197	146
575	198	145
576	198	145
577	198	145
578	199	144
579	199	144
580	200	144
581	200	144
582	200	143
583	201	143
584	201	142
585	201	142
586	202	142
587	202	142
588	203	141
589	203	141
590	203	141
591	204	140
592	204	140
593	204	139
594	205	139
595	205	139
596	205	139
597	206	138
598	206	138
599	206	137
600	207	137
601	207	137
602	207	136
603	208	136
604	208	136
605	208	135
606	209	135
607	209	135
608	209	134
609	210	134
610	210	134
611	211	133
612	211	133
613	211	133
614	212	132
615	212	132
616	212	132
617	213	131
618	213	131
619	213	131
620	214	130
621	214	130
622	214	130
623	215	129
624	215	129
625	216	129
626	216	128
627	216	128
628	217	128
629	217	127
630	217	127
631	218	127
632	218	126
633	218	126
634	219	126
635	219	125
636	220	125
637	220	125
638	220	124
639	221	124
640	221	124
641	221	123
642	222	123
643	222	123
644	222	122
645	223	122
646	223	121
647	223	121
648	224	121
649	224	120
650	224	120
651	225	120
652	225	119
653	225	119
654	226	119
655	226	118
656	226	118
657	227	118
658	227	117
659	228	117
660	228	117
661	228	116
662	229	116
663	229	116
664	229	115
665	230	115
666	230	115
667	230	114
668	231	114
669	231	114
670	231	113
671	232	113
672	232	112
673	232	112
674	233	112
675	233	111
676	233	111
677	234	111
678	234	110
679	234	110
680	235	110
681	235	109
682	235	109
683	236	109
684	236	108
685	236	108
686	237	108
687	237	107
688	237	107
689	238	106
690	238	106
691	238	106
692	239	105
693	239	105
694	239	105
695	239	104
696	240	104
697	240	104
698	241	103
699	241	103
700	241	103
701	242	102
702	242	102
703	242	102
704	243	101
705	243	101
706	243	101
707	244	100
708	244	100
709	244	99
710	245	99
711	245	99
712	245	99
713	246	98
714	246	98
715	246	97
716	247	97
717	247	97
718	247	96
719	248	96
720	248	96
721	248	95
722	249	95
723	249	95
724	250	94
725	250	94
726	250	94
727	251	93
728	251	93
729	251	93
730	252	92
731	252	92
732	252	92
733	253	91
734	253	91
735	253	91
736	254	90
737	254	90
738	254	90
739	255	89
740	255	89
741	255	88
742	256	88
743	256	88
744	257	87
745	257	87
746	257	87
747	258	86
748	258	86
749	258	86
750	259	85
751	259	85
752	259	85
753	260	84
754	260	84
755	260	84
756	260	83
757	261	83
758	261	83
759	261	82
760	262	82
761	262	82
762	262	81
763	263	81
764	263	80
765	263	80
766	264	80
767	264	79
768	264	79
769	265	79
770	265	78
771	265	78
772	266	78
773	266	77
774	266	77
775	267	77
776	267	76
777	267	76
778	268	76
779	268	75
780	268	75
781	269	75
782	269	74
783	269	74
784	270	74
785	270	73
786	270	73
787	271	73
788	272	72
789	272	72
790	272	72
791	273	71
792	273	71
793	273	71
794	274	70
795	274	70
796	275	70
797	275	69
798	275	69
799	276	69
800	276	68
801	276	68
802	277	68
803	277	67
804	277	67
805	278	66
806	278	66
807	278	66
808	279	65
809	279	65
810	279	65
811	280	64
812	280	64
813	280	64
814	281	63
815	281	63
816	281	63
817	282	62
818	282	62
819	282	62
820	283	61
821	283	61
822	283	61
823	284	60
824	284	60
825	284	60
826	285	59
827	285	59
828	285	58
829	286	58
830	286	58
831	286	57
832	287	57
833	287	57
834	287	56
835	288	56
836	288	56
837	288	55
838	289	55
839	289	55
840	289	54
841	290	54
842	290	54
843	290	53
844	291	53
845	291	53
846	292	52
847	292	52
848	292	52
849	293	51
850	293	51
851	294	51
852	294	50
853	294	50
854	295	50
855	295	49
856	296	49
857	296	49
858	296	48
859	297	48
860	297	48
861	297	47
862	298	47
863	298	46
864	298	46
865	299	46
866	299	45
867	299	45
868	300	45
869	300	44
870	300	44
871	301	44
872	301	43
873	301	43
874	302	43
875	302	42
876	302	42
877	303	42
878	303	41
879	303	41
880	304	41
881	304	40
882	304	40
883	304	40
884	305	39
885	305	39
886	305	38
887	306	38
888	306	38
889	306	37
890	307	37
891	307	37
892	307	36
893	308	36
894	308	36
895	308	35
896	309	35
897	309	35
898	309	34
899	310	34
900	310	34
901	310	33
902	311	33
903	311	33
904	311	32
905	312	32
906	312	32
907	312	31
908	313	31
909	313	31
910	313	30
911	314	30
912	314	29
913	314	29
914	315	29
915	315	28
916	315	28
917	316	28
918	316	27
919	316	27
920	317	27
921	317	26
922	317	26
923	318	26
924	318	25
925	318	25
926	319	25
927	319	24
928	319	24
929	320	24
930	320	23
931	320	23
932	321	23
933	321	22
934	321	22
935	322	22
936	322	21
937	322	21
938	322	20
939	323	20
940	323	20
941	323	19
942	324	19
943	324	19
944	324	18
945	325	18
946	325	18
947	325	17
948	326	17
949	326	17
950	326	16
951	327	16
952	327	16
953	327	15
954	328	15
955	328	15
956	328	14
957	329	14
958	329	14
959	329	13
960	329	13
961	330	13
962	330	12
963	330	12
964	331	12
965	331	11
966	331	11
967	332	10
968	332	10
969	332	10
970	333	9
971	333	9
972	333	9
973	334	8
974	334	8
975	334	8
976	335	7
977	335	7
978	335	7
979	336	6
980	336	6
981	336	6
982	337	5
983	337	5
984	337	5
985	338	4
986	338	4
987	338	4
988	339	3
989	339	3
990	339	3
991	340	2
992	340	2
993	340	2
994	340	1
995	341	1
996	341	1
997	341	0
998	342	0
999	342	0
